competitor.id,competitor.sum_points,competitor.place,competitor.place_prev,competitor.id_person,competitor.family_name,competitor.given_name,competitor.gender,competitor.timestamp_version,competitor.id_country,competitor.id_weight
30227_6_4,7496,1,2.0,30227,GRIGALASHVILI,Tato,male,v1568724129,6,4
30629_4_14,7250,1,1.0,30629,DICKO,Romane,female,v1641801647,4,14
16235_43_2,6934,1,1.0,16235,VIERU,Denis,male,v1664368981,43,2
3726_6_3,6527,1,1.0,3726,SHAVDATUASHVILI,Lasha,male,v1633693397,6,3
7672_28_12,6424,1,1.0,7672,VAN DIJKE,Sanne,female,v1573645494,28,12
27304_74_1,6145,1,1.0,27304,YANG,Yung Wei,male,v1653921489,74,1
17378_17_9,5750,1,1.0,17378,KELDIYOROVA,Diyora,female,v1563986998,17,9
25415_17_5,5650,1,1.0,25415,BOBONOV,Davlat,male,v1637313785,17,5
7847_26_11,5420,1,1.0,7847,RENSHALL,Lucy,female,v1666777130,26,11
35695_13_8,5350,1,2.0,35695,TSUNODA,Natsumi,female,v1643678004,13,8
17268_88_7,5254,1,1.0,17268,RAKHIMOV,Temur,male,v1667472465,88,7
1039_49_13,5220,1,1.0,1039,AGUIAR,Mayra,female,v1628009266,49,13
9286_28_6,5217,1,1.0,9286,KORREL,Michael,male,v1558179498,28,6
14858_24_10,5020,1,1.0,14858,NELSON LEVY,Timna,female,v1637146465,24,10
19675_3_4,7205,2,1.0,19675,CASSE,Matthias,male,v1646685371,3,4
2775_44_12,6252,2,2.0,2775,MATIC,Barbara,female,v1565032648,44,12
13028_8_3,6070,2,3.0,13028,HEYDAROV,Hidayat,male,v1668096823,8,3
13713_24_14,5890,2,3.0,13713,HERSHKO,Raz,female,v1653920235,24,14
3244_51_11,5320,2,2.0,3244,BEAUCHEMIN-PINARD,Catherine,female,v1666992822,51,11
17189_193_13,5173,2,2.0,17189,WAGNER,Anna-Maria,female,v1666273353,193,13
7837_27_9,5121,2,4.0,7837,PUPP,Reka,female,v1668150667,27,9
9396_21_6,5080,2,2.0,9396,FONSECA,Jorge,male,v1643244902,21,6
19526_4_8,5010,2,1.0,19526,BOUKLI,Shirine,female,v1617009022,4,8
8167_6_5,4945,2,2.0,8167,GVINIASHVILI,Beka,male,v1564312390,6,5
7725_51_10,4850,2,2.0,7725,KLIMKAIT,Jessica,female,v1559567274,51,10
8178_6_7,4699,2,2.0,8178,TUSHISHVILI,Guram,male,v1553768785,6,7
13208_13_2,4600,2,2.0,13208,ABE,Hifumi,male,v1663304879,13,2
9365_20_1,3508,2,2.0,9365,GARRIGOS,Francisco,male,v1666946047,20,1
13854_61_3,5650,3,2.0,13854,TSEND-OCHIR,Tsogtbaatar,male,v1568380144,61,3
23953_49_14,5110,3,2.0,23953,SOUZA,Beatriz,female,v1628011232,49,14
13437_4_9,5045,3,5.0,13437,GNETO,Astride,female,v1636017854,4,9
3239_20_8,4771,3,3.0,3239,FIGUEROA,Julia,female,v1625574448,20,8
68901_8_4,4664,3,3.0,68901,MOLLAEI,Saeid,male,v1667475423,8,4
438_49_10,4615,3,3.0,438,SILVA,Rafaela,female,v1666263494,49,10
16119_48_7,4432,3,3.0,16119,GRANDA,Andy,male,v1559747118,48,7
25741_8_6,4421,3,4.0,25741,KOTSOIEV,Zelym,male,v1636554478,8,6
3788_4_13,4410,3,3.0,3788,MALONGA,Madeleine,female,v1625576102,4,13
13809_48_5,4290,3,3.0,13809,SILVA MORALES,Ivan Felipe,male,v1564312686,48,5
11650_13_11,4250,3,3.0,11650,HORIKAWA,Megumi,female,v1643677503,13,11
9713_15_2,4245,3,4.0,9713,AN,Baul,male,v1666270134,15,2
20102_193_12,4005,3,3.0,20102,BUTKEREIT,Miriam,female,v1669637309,193,12
9344_13_1,3450,3,3.0,9344,TAKATO,Naohisa,male,v1663304895,13,1
7539_4_9,5010,4,2.0,7539,BUCHARD,Amandine,female,v1637251999,4,9
22293_4_14,4699,4,4.0,22293,TOLOFUA,Julia,female,v1666955065,4,14
20253_6_10,4592,4,4.0,20253,LIPARTELIANI,Eteri,female,v1570450151,6,10
36972_49_4,4252,4,4.0,36972,SCHIMIDT,Guilherme,male,v1628009375,49,4
14728_23_8,4230,4,4.0,14728,MILANI,Francesca,female,v1618317171,23,8
36058_51_6,4198,4,3.0,36058,ELNAHAS,Shady,male,v1559748355,51,6
9546_6_2,4082,4,5.0,9546,MARGVELASHVILI,Vazha,male,v1663941000,6,2
10699_8_5,4071,4,4.0,10699,MEHDIYEV,Mammadali,male,v1569490747,8,5
3389_28_13,3981,4,5.0,3389,STEENHUIS,Guusje,female,v1569831710,28,13
2080_49_11,3968,4,4.0,2080,QUADROS,Ketleyn,female,v1628007653,49,11
13510_28_7,3785,4,4.0,13510,SPIJKERS,Jur,male,v1563980984,28,7
4422_13_12,3750,4,5.0,4422,ONO,Yoko,female,v1643677769,13,12
16638_24_3,3437,4,4.0,16638,BUTBUL,Tohar,male,v1558177410,24,3
13036_3_1,3385,4,4.0,13036,VERSTRAETEN,Jorre,male,v1581595546,3,1
17275_26_9,4930,5,3.0,17275,GILES,Chelsie,female,v1666459544,26,9
16709_61_2,4000,5,3.0,16709,YONDONPERENLEI,Baskhuu,male,v1618829322,61,2
20518_6_5,3975,5,5.0,20518,MAISURADZE,Luka,male,v1558179896,6,5
20209_24_13,3969,5,4.0,20209,LANIR,Inbar,female,v1641836279,24,13
38158_6_6,3952,5,5.0,38158,SULAMANIDZE,Ilia,male,v1611734947,6,6
25334_4_10,3935,5,5.0,25334,CYSIQUE,Sarah Leonie,female,v1617009272,4,10
6754_109_11,3732,5,5.0,6754,BARRIOS,Anriquelis,female,v1608297889,109,11
17379_17_4,3725,5,5.0,17379,BOLTABOEV,Sharofiddin,male,v1564305216,17,4
28258_13_14,3700,5,5.0,28258,TOMITA,Wakaba,female,v1643677621,13,14
