points,place,long_place,competition.id,competitor.id
2000,1.0,1. place,2298,30227_6_4
700,2.0,2. place,2288,30227_6_4
700,2.0,2. place,2282,30227_6_4
350,3.0,3. place,2306,30227_6_4
700,1.0,1. place,2293,30227_6_4
700,2.0,2. place,2239,30227_6_4
396,5.0,5. place,2035,30227_6_4
350,2.0,2. place,2260,30227_6_4
350,1.0,1. place,2253,30227_6_4
350,1.0,1. place,2045,30227_6_4
900,1.0,1. place,2180,30227_6_4
2000,1.0,1. place,2298,30629_4_14
1000,1.0,1. place,2284,30629_4_14
700,2.0,2. place,2282,30629_4_14
50,3.0,3. place,2304,30629_4_14
700,1.0,1. place,2293,30629_4_14
550,3.0,3. place,2035,30629_4_14
500,1.0,1. place,2238,30629_4_14
500,1.0,1. place,2227,30629_4_14
350,1.0,1. place,2045,30629_4_14
900,1.0,1. place,2180,30629_4_14
1000,1.0,1. place,2311,16235_43_2
1000,3.0,3. place,2298,16235_43_2
1000,1.0,1. place,2289,16235_43_2
1000,1.0,1. place,2288,16235_43_2
700,1.0,1. place,2281,16235_43_2
350,3.0,3. place,2293,16235_43_2
500,1.0,1. place,2317,16235_43_2
350,2.0,2. place,2267,16235_43_2
350,1.0,1. place,2253,16235_43_2
180,5.0,5. place,2260,16235_43_2
180,5.0,5. place,2233,16235_43_2
324,5.0,5. place,2180,16235_43_2
1000,1.0,1. place,2288,3726_6_3
1000,1.0,1. place,2282,3726_6_3
700,2.0,2. place,2296,3726_6_3
520,7.0,7. place,2298,3726_6_3
500,3.0,3. place,2311,3726_6_3
112,,1/16,2293,3726_6_3
1000,1.0,1. place,2239,3726_6_3
770,2.0,2. place,2035,3726_6_3
250,3.0,3. place,2317,3726_6_3
250,3.0,3. place,2233,3726_6_3
180,5.0,5. place,2227,3726_6_3
245,2.0,2. place,2045,3726_6_3
1000,1.0,1. place,2311,7672_28_12
1000,3.0,3. place,2298,7672_28_12
1000,1.0,1. place,2288,7672_28_12
700,2.0,2. place,2284,7672_28_12
260,7.0,7. place,2296,7672_28_12
490,2.0,2. place,2293,7672_28_12
550,3.0,3. place,2035,7672_28_12
500,3.0,3. place,2239,7672_28_12
324,5.0,5. place,2180,7672_28_12
250,3.0,3. place,2227,7672_28_12
350,1.0,1. place,2200,7672_28_12
1000,3.0,3. place,2298,27304_74_1
1000,1.0,1. place,2289,27304_74_1
700,2.0,2. place,2364,27304_74_1
700,2.0,2. place,2309,27304_74_1
10,,participation,2315,27304_74_1
350,3.0,3. place,2436,27304_74_1
770,2.0,2. place,2035,27304_74_1
500,1.0,1. place,2317,27304_74_1
250,3.0,3. place,2234,27304_74_1
245,2.0,2. place,2235,27304_74_1
630,2.0,2. place,2180,27304_74_1
2000,1.0,1. place,2298,35696_13_9
1000,1.0,1. place,2315,35696_13_9
700,1.0,1. place,2306,35696_13_9
1100,1.0,1. place,2035,35696_13_9
500,1.0,1. place,2238,35696_13_9
500,1.0,1. place,2230,35696_13_9
2000,1.0,1. place,2298,25415_17_5
700,2.0,2. place,2364,25415_17_5
500,3.0,3. place,2282,25415_17_5
700,2.0,2. place,2239,25415_17_5
550,3.0,3. place,2035,25415_17_5
350,2.0,2. place,2230,25415_17_5
250,3.0,3. place,2317,25415_17_5
250,3.0,3. place,2233,25415_17_5
350,1.0,1. place,2235,25415_17_5
1000,1.0,1. place,2289,17189_193_13
1000,1.0,1. place,2288,17189_193_13
520,7.0,7. place,2298,17189_193_13
360,5.0,5. place,2315,17189_193_13
1000,1.0,1. place,2239,17189_193_13
550,3.0,3. place,2035,17189_193_13
